forecast_month,forecast_month_name,train_months,train_size,test_size,rmse,mae,r2
2,Feb,Jan,1041110,925338,177.17428819496376,43.298562812749836,0.9854387302108134
3,Mar,Jan-Feb,1966448,971112,186.9731502712644,45.90509285438014,0.9805709183956067
4,Apr,Jan-Feb-Mar,2937560,1022853,189.35380564871434,46.733843415259734,0.9782938781056536
5,May,Jan-Feb-Mar-Apr,3960413,1056473,176.72308030597787,44.9432199187481,0.9800835348154099
6,Jun,Jan-Feb-Mar-Apr-May,5016886,1022625,160.76589169116536,41.483774150542,0.986130028395791
7,Jul,Jan-Feb-Mar-Apr-May-Jun,6039511,1049186,178.08129637809077,41.79158568814097,0.9841635530445745
8,Aug,Jan-Feb-Mar-Apr-May-Jun-Jul,7088697,1047171,181.2682023052303,42.10169280870322,0.9842292652277661
9,Sep,Jan-Feb-Mar-Apr-May-Jun-Jul-Aug,8135868,1029198,169.17377574383977,42.68370430493285,0.9852289794514302
10,Oct,Jan-Feb-Mar-Apr-May-Jun-Jul-Aug-Sep,9165066,1060388,187.40047756016483,46.38686072711609,0.9777537780615452
11,Nov,Jan-Feb-Mar-Apr-May-Jun-Jul-Aug-Sep-Oct,10225454,1020453,185.84466178562866,46.46626337706621,0.9797630731901207
12,Dec,Jan-Feb-Mar-Apr-May-Jun-Jul-Aug-Sep-Oct-Nov,11245907,1045492,173.23654636990187,44.506703684091896,0.9875146717194463
